date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2020-03-02,TAIEX,7284842170,203206893520,11184.66,11282.05,11049.85,11170.46,-121.71,1634226
2020-03-03,TAIEX,6007281977,165018977287,11279.86,11390.24,11279.86,11327.72,157.26,1313756
2020-03-04,TAIEX,5039075843,140735268363,11368.25,11392.35,11297.81,11392.35,64.63,1082165
2020-03-05,TAIEX,5060603723,145957940886,11454.65,11525.32,11454.65,11514.82,122.47,1156055
2020-03-06,TAIEX,5659175395,151478312495,11471.36,11471.36,11310.32,11321.81,-193.01,1356083
2020-03-09,TAIEX,9368411895,232670776025,11221.76,11221.76,10977.64,10977.64,-344.17,2154691
2020-03-10,TAIEX,8600866018,207753829399,10907.62,11032.47,10830.22,11003.54,25.9,1792581
2020-03-11,TAIEX,7389097374,177658190103,11022.82,11088.23,10885.91,10893.75,-109.79,1537557
2020-03-12,TAIEX,10401683029,271170545930,10845.39,10845.39,10359.67,10422.32,-471.43,2387131
2020-03-13,TAIEX,11980302682,303651583716,10091.03,10171.2,9636.15,10128.87,-293.45,2607692
2020-03-16,TAIEX,7645539728,211160705753,10069.42,10130.8,9717.77,9717.77,-411.1,1921186
2020-03-17,TAIEX,8206236082,237969022384,9538.64,9677.07,9371.35,9439.63,-278.14,2123143
2020-03-18,TAIEX,7506547959,212304696289,9453.98,9509.61,9218.67,9218.67,-220.96,2011362
2020-03-19,TAIEX,10417337257,271179217853,9085.28,9085.28,8523.63,8681.34,-537.33,2559042
2020-03-20,TAIEX,8313012267,237073888634,8816.86,9264.42,8816.86,9234.09,552.75,2030577
2020-03-23,TAIEX,5434939207,154051713864,9025.55,9029.52,8750.14,8890.03,-344.06,1428693
2020-03-24,TAIEX,5685711161,154892630561,9083.78,9415.64,9083.78,9285.62,395.59,1438525
2020-03-25,TAIEX,6311030678,184585853741,9426.43,9722.37,9426.43,9644.75,359.13,1663336
2020-03-26,TAIEX,4963011536,154234507199,9667.14,9739.73,9565.02,9736.36,91.61,1387294
2020-03-27,TAIEX,5715888822,181693587614,9807.9,9954.86,9691.14,9698.92,-37.44,1588397
2020-03-30,TAIEX,4590872146,128514846532,9571.22,9655.7,9415.52,9629.43,-69.49,1157638
2020-03-31,TAIEX,4717261406,147168293708,9689.62,9789.81,9630.3,9708.06,78.63,1256288
2020-04-01,TAIEX,4180562164,120542519492,9726.2,9736.0,9663.63,9663.63,-44.43,1142447
2020-04-06,TAIEX,5242549478,153193812291,9707.75,9818.74,9651.52,9818.74,155.11,1384304
2020-04-07,TAIEX,5596397343,174156363686,9928.16,10039.15,9928.16,9996.39,177.65,1569883
2020-04-08,TAIEX,5578131903,170685529067,10010.64,10149.76,9984.66,10137.47,141.08,1610057
2020-04-09,TAIEX,5230196805,165338167106,10173.26,10246.84,10092.36,10119.43,-18.04,1526083
2020-04-10,TAIEX,4155990176,122337105654,10105.43,10165.12,10103.77,10157.61,38.18,1167379
2020-04-13,TAIEX,4698370748,118924338183,10147.56,10179.4,10080.65,10099.22,-58.39,1251059
2020-04-14,TAIEX,5363296926,158014679176,10130.65,10344.13,10130.65,10332.94,233.72,1419673
2020-04-15,TAIEX,5647516921,194914556974,10366.77,10461.84,10366.77,10447.21,114.27,1691599
2020-04-16,TAIEX,4829966706,157665481086,10385.78,10425.29,10317.13,10375.48,-71.73,1405562
2020-04-17,TAIEX,6364036089,233224931821,10554.55,10710.15,10552.58,10597.04,221.56,1778080
2020-04-20,TAIEX,3968793048,136536624226,10612.45,10637.64,10542.96,10586.71,-10.33,1157182
2020-04-21,TAIEX,5920573446,184801965082,10544.8,10544.8,10278.95,10288.42,-298.29,1764176
2020-04-22,TAIEX,5260027532,153403171006,10256.11,10310.85,10140.09,10307.74,19.32,1411104
2020-04-23,TAIEX,4677068582,155989400936,10370.13,10462.7,10294.88,10366.51,58.77,1298847
2020-04-24,TAIEX,4052771112,126359985757,10367.97,10386.93,10324.2,10347.36,-19.15,1153370
2020-04-27,TAIEX,5540788868,178798337616,10407.49,10578.96,10407.49,10567.27,219.91,1483642
2020-04-28,TAIEX,5400871093,183487725571,10580.25,10620.52,10537.71,10616.06,48.79,1509181
2020-04-29,TAIEX,5678828844,194424601104,10656.4,10794.83,10656.4,10772.22,156.16,1615692
2020-04-30,TAIEX,6546009430,231771127536,10826.26,11012.78,10826.26,10992.14,219.92,1817454
2020-05-04,TAIEX,5765177939,191090738853,10781.51,10781.51,10658.5,10720.48,-271.66,1556445
2020-05-05,TAIEX,4705783752,179302767364,10756.95,10833.53,10735.01,10774.61,54.13,1418246
2020-05-06,TAIEX,5314704402,182668855857,10771.09,10828.73,10708.1,10774.98,0.37,1558535
2020-05-07,TAIEX,4780230104,168677762728,10778.53,10890.87,10775.16,10842.92,67.94,1405855
2020-05-08,TAIEX,5098107890,187830439900,10883.22,10970.7,10883.22,10901.42,58.5,1527810
2020-05-11,TAIEX,5458626713,169831280692,10942.18,11039.11,10942.18,11013.26,111.84,1532061
2020-05-12,TAIEX,5014964552,174437565850,10974.51,10974.51,10854.51,10879.47,-133.79,1475993
2020-05-13,TAIEX,4751016651,168204611361,10861.01,10938.27,10828.93,10938.27,58.8,1350741
2020-05-14,TAIEX,5561899832,188103842946,10894.17,10894.17,10777.46,10780.88,-157.39,1593373
2020-05-15,TAIEX,4835287814,176429392231,10833.16,10904.01,10730.55,10814.92,34.04,1376021
2020-05-18,TAIEX,4741087880,195170626320,10753.21,10812.87,10730.7,10740.55,-74.37,1403818
2020-05-19,TAIEX,5142779078,189282766550,10812.79,10924.79,10812.79,10860.44,119.89,1501409
2020-05-20,TAIEX,4509534398,172537826062,10892.76,10933.98,10860.15,10907.8,47.36,1375269
2020-05-21,TAIEX,4885891165,172218053521,10933.21,11021.66,10933.21,11008.31,100.51,1390386
2020-05-22,TAIEX,5054277645,178399370544,10977.55,10977.55,10804.56,10811.15,-197.16,1527217
2020-05-25,TAIEX,4139816654,148792998499,10812.94,10874.54,10719.25,10871.18,60.03,1207831
2020-05-26,TAIEX,5106168038,182416463343,10903.32,11046.22,10903.32,10997.21,126.03,1498204
2020-05-27,TAIEX,4721324227,157944246242,11023.93,11069.72,10972.25,11014.66,17.45,1376696
2020-05-28,TAIEX,5239764437,173084681796,11040.62,11087.53,10915.3,10944.19,-70.47,1498455
2020-05-29,TAIEX,5508327470,215603913046,10921.16,10965.03,10861.9,10942.16,-2.03,1218573
2020-06-01,TAIEX,4975164301,169563746947,10971.4,11109.29,10971.4,11079.02,136.86,1350613
2020-06-02,TAIEX,4974734421,182409278902,11109.27,11170.49,11102.97,11127.93,48.91,1399684
2020-06-03,TAIEX,6431206610,214594995112,11182.52,11330.52,11182.52,11320.16,192.23,1670723
2020-06-04,TAIEX,5944102520,203655766408,11373.94,11425.42,11341.58,11393.23,73.07,1550402
2020-06-05,TAIEX,5782637500,181156372573,11418.01,11482.36,11411.94,11479.4,86.17,1522634
2020-06-08,TAIEX,6425750934,204483479878,11539.0,11631.89,11528.44,11610.32,130.92,1702229
2020-06-09,TAIEX,5177011975,175551998760,11600.61,11640.45,11537.38,11637.11,26.79,1444554
