buy,date,name,sell
4168470,2020-03-02,Foreign_Dealer_Self,9828580
3674825920,2020-03-02,Dealer_self,1962550420
58597346249,2020-03-02,Foreign_Investor,78295848994
9472049995,2020-03-02,Dealer_Hedging,10018932302
1679082100,2020-03-02,Investment_Trust,1508415502
73423304264,2020-03-02,total,91785747218
2274108410,2020-03-03,Dealer_self,2060283771
9556710,2020-03-03,Foreign_Dealer_Self,4883850
5799633208,2020-03-03,Dealer_Hedging,8129097503
52393761443,2020-03-03,total,67203433948
2239078180,2020-03-03,Investment_Trust,1395850980
42080941645,2020-03-03,Foreign_Investor,55618201694
52391879884,2020-03-04,total,49554283924
1882463440,2020-03-04,Investment_Trust,1756364330
1453046870,2020-03-04,Dealer_self,1874734830
44835447700,2020-03-04,Foreign_Investor,38557719663
4220921874,2020-03-04,Dealer_Hedging,7365465101
4941980,2020-03-04,Foreign_Dealer_Self,6048770
40317069538,2020-03-05,Foreign_Investor,39351391674
6356087530,2020-03-05,Dealer_Hedging,5385614807
51407748168,2020-03-05,total,48274613846
1850482510,2020-03-05,Dealer_self,2048785815
2884108590,2020-03-05,Investment_Trust,1488821550
6795770,2020-03-05,Foreign_Dealer_Self,6818920
5380895152,2020-03-06,Dealer_Hedging,8472924731
1326874960,2020-03-06,Dealer_self,2463384417
28767298949,2020-03-06,Foreign_Investor,57590480938
1996359060,2020-03-06,Investment_Trust,1212871345
4405160,2020-03-06,Foreign_Dealer_Self,5495480
37471428121,2020-03-06,total,69739661431
33903407067,2020-03-09,Foreign_Investor,88461679970
8143652354,2020-03-09,Dealer_Hedging,13230413706
6827310,2020-03-09,Foreign_Dealer_Self,7439700
46392811881,2020-03-09,total,106520254036
2354274140,2020-03-09,Investment_Trust,1524347820
1991478320,2020-03-09,Dealer_self,3303812540
9268441057,2020-03-10,Dealer_Hedging,9224954277
4836530,2020-03-10,Foreign_Dealer_Self,11886330
1619863900,2020-03-10,Investment_Trust,1821257839
54203860028,2020-03-10,Foreign_Investor,62823408659
68152575215,2020-03-10,total,76225635720
3060410230,2020-03-10,Dealer_self,2356014945
1623578150,2020-03-11,Investment_Trust,749672690
42025979340,2020-03-11,Foreign_Investor,63184476686
1433970210,2020-03-11,Dealer_self,5369153938
50740898635,2020-03-11,total,79490026399
5657370935,2020-03-11,Dealer_Hedging,10186723085
10668560,2020-03-11,Foreign_Dealer_Self,5847300
56498139435,2020-03-12,Foreign_Investor,93320456337
2720095990,2020-03-12,Dealer_self,4994247922
11124875140,2020-03-12,Dealer_Hedging,15167037560
5167340,2020-03-12,Foreign_Dealer_Self,7277460
71867836695,2020-03-12,total,117025169616
1524726130,2020-03-12,Investment_Trust,3543427797
16914941005,2020-03-13,Dealer_Hedging,13011183130
75700323380,2020-03-13,Foreign_Investor,105932637696
3521510,2020-03-13,Foreign_Dealer_Self,17516820
3028286820,2020-03-13,Dealer_self,4566283264
2060882990,2020-03-13,Investment_Trust,3497695903
97704434195,2020-03-13,total,127007799993
45654820008,2020-03-16,Foreign_Investor,79009054373
9216171260,2020-03-16,Dealer_Hedging,10618852754
4327290,2020-03-16,Foreign_Dealer_Self,5742090
58281815648,2020-03-16,total,95698752857
1559991210,2020-03-16,Investment_Trust,1622943698
1850833170,2020-03-16,Dealer_self,4447902032
2007500,2020-03-17,Foreign_Dealer_Self,1297130
10655330205,2020-03-17,Dealer_Hedging,8601791761
3246546160,2020-03-17,Dealer_self,3659089685
65187989723,2020-03-17,Foreign_Investor,88232754509
2250320460,2020-03-17,Investment_Trust,2865639177
81340186548,2020-03-17,total,103359275132
2030104400,2020-03-18,Dealer_self,4690253503
56929039148,2020-03-18,Foreign_Investor,85640211442
69802944223,2020-03-18,total,101668403741
1396350,2020-03-18,Foreign_Dealer_Self,4942270
2270771690,2020-03-18,Investment_Trust,1802191979
8573028985,2020-03-18,Dealer_Hedging,9535746817
1521910,2020-03-19,Foreign_Dealer_Self,2546680
1955334540,2020-03-19,Investment_Trust,2655681385
61246546449,2020-03-19,Foreign_Investor,82467662459
78351856623,2020-03-19,total,102061860080
1648836540,2020-03-19,Dealer_self,3397014688
13501139094,2020-03-19,Dealer_Hedging,13541501548
962167470,2020-03-20,Dealer_self,3626960611
84032039202,2020-03-20,total,107968954711
70609481295,2020-03-20,Foreign_Investor,92516124639
3378832310,2020-03-20,Investment_Trust,2715590206
9081558127,2020-03-20,Dealer_Hedging,9110279255
1370210,2020-03-20,Foreign_Dealer_Self,513920
3883008610,2020-03-23,Dealer_Hedging,9176215398
44475631937,2020-03-23,Foreign_Investor,60317434933
2099805880,2020-03-23,Investment_Trust,2201926714
1193623340,2020-03-23,Dealer_self,939046169
51652069767,2020-03-23,total,72634623214
306350,2020-03-23,Foreign_Dealer_Self,180210
918502410,2020-03-24,Dealer_self,1921952230
6532985180,2020-03-24,Dealer_Hedging,7669145986
49653426499,2020-03-24,Foreign_Investor,44395285121
58651613849,2020-03-24,total,55504051849
1546699760,2020-03-24,Investment_Trust,1517668512
525890,2020-03-24,Foreign_Dealer_Self,706420
2412612070,2020-03-25,Investment_Trust,1074835090
698720,2020-03-25,Foreign_Dealer_Self,196650
60419517654,2020-03-25,total,63535307159
759654580,2020-03-25,Dealer_self,2470437837
50198590409,2020-03-25,Foreign_Investor,52511853689
7048660595,2020-03-25,Dealer_Hedging,7478180543
5587222674,2020-03-26,Dealer_Hedging,6604004025
49347093959,2020-03-26,Foreign_Investor,40745690716
387980,2020-03-26,Foreign_Dealer_Self,144750
57722418714,2020-03-26,total,49928490951
913564310,2020-03-26,Dealer_self,1211626900
1874537771,2020-03-26,Investment_Trust,1367169310
753836710,2020-03-27,Dealer_self,2284308830
2233938934,2020-03-27,Investment_Trust,1333809520
49040991701,2020-03-27,total,61906764345
511490,2020-03-27,Foreign_Dealer_Self,406620
4698146527,2020-03-27,Dealer_Hedging,7216296755
41355069530,2020-03-27,Foreign_Investor,51072349240
44337114862,2020-03-30,total,52049487763
681850,2020-03-30,Foreign_Dealer_Self,186360
1360419120,2020-03-30,Investment_Trust,1587541125
717714030,2020-03-30,Dealer_self,849368391
4904682440,2020-03-30,Dealer_Hedging,7407441533
37354299272,2020-03-30,Foreign_Investor,42205136714
660910326,2020-03-31,Dealer_self,1554474491
48486223260,2020-03-31,Foreign_Investor,54298324651
112360,2020-03-31,Foreign_Dealer_Self,82150
55803604040,2020-03-31,total,62434731494
3579343442,2020-03-31,Dealer_Hedging,5166361622
3077127012,2020-03-31,Investment_Trust,1415570730
33759089839,2020-04-01,Foreign_Investor,38466572585
3681729831,2020-04-01,Dealer_Hedging,5539788946
789316840,2020-04-01,Dealer_self,912143500
123150,2020-04-01,Foreign_Dealer_Self,266220
3039112340,2020-04-01,Investment_Trust,853138940
41269248850,2020-04-01,total,45771643971
1718925610,2020-04-06,Investment_Trust,1123530150
56208766501,2020-04-06,Foreign_Investor,54066458182
4958516299,2020-04-06,Dealer_Hedging,4560220991
64348929380,2020-04-06,total,60616673273
188700,2020-04-06,Foreign_Dealer_Self,954220
1462720970,2020-04-06,Dealer_self,866463950
3581484790,2020-04-07,Investment_Trust,1598369890
48174203029,2020-04-07,Foreign_Investor,44787215977
5046218000,2020-04-07,Dealer_Hedging,4223918176
810310,2020-04-07,Foreign_Dealer_Self,1394680
58351466239,2020-04-07,total,51999518723
1549560420,2020-04-07,Dealer_self,1390014680
39417652326,2020-04-08,Foreign_Investor,39187939928
3750698710,2020-04-08,Investment_Trust,1958602400
1454900,2020-04-08,Foreign_Dealer_Self,1204670
50242440208,2020-04-08,total,48913356879
5558100346,2020-04-08,Dealer_Hedging,5759234174
1515988826,2020-04-08,Dealer_self,2007580377
31324893350,2020-04-09,Foreign_Investor,38514279984
38434980073,2020-04-09,total,47718371608
1137590,2020-04-09,Foreign_Dealer_Self,3128440
1089302260,2020-04-09,Dealer_self,1715250921
2092363160,2020-04-09,Investment_Trust,1716289818
3928421303,2020-04-09,Dealer_Hedging,5772550885
857762800,2020-04-10,Dealer_self,1392055023
2200178800,2020-04-10,Investment_Trust,1888984304
24010482300,2020-04-10,Foreign_Investor,24044728447
3411663607,2020-04-10,Dealer_Hedging,3842610634
1674030,2020-04-10,Foreign_Dealer_Self,1390440
30480087507,2020-04-10,total,31168378408
24909472048,2020-04-13,total,34470690045
2461657450,2020-04-13,Investment_Trust,1224505331
976194050,2020-04-13,Dealer_self,2101972330
3077063728,2020-04-13,Dealer_Hedging,5160897440
1768410,2020-04-13,Foreign_Dealer_Self,1246160
18394556820,2020-04-13,Foreign_Investor,25983314944
1960984050,2020-04-14,Dealer_self,850285810
5272319973,2020-04-14,Dealer_Hedging,4859746486
50615655320,2020-04-14,Foreign_Investor,35493636166
60978793173,2020-04-14,total,42423431388
3129833830,2020-04-14,Investment_Trust,1219762926
1857660,2020-04-14,Foreign_Dealer_Self,1903070
5018372950,2020-04-15,Dealer_Hedging,5559627714
2181160,2020-04-15,Foreign_Dealer_Self,3160920
57865565019,2020-04-15,total,60772885661
1935120050,2020-04-15,Dealer_self,3252424450
46824040559,2020-04-15,Foreign_Investor,50508316904
4088031460,2020-04-15,Investment_Trust,1452516593
994007260,2020-04-16,Dealer_self,1275806789
46429287680,2020-04-16,total,59139519513
39078473571,2020-04-16,Foreign_Investor,51534047883
3520183929,2020-04-16,Dealer_Hedging,4431953615
1843830,2020-04-16,Foreign_Dealer_Self,1297810
2836622920,2020-04-16,Investment_Trust,1897711226
85465164927,2020-04-17,total,61882859506
3300660,2020-04-17,Foreign_Dealer_Self,2034560
72851113647,2020-04-17,Foreign_Investor,52456735235
4078728040,2020-04-17,Investment_Trust,1593064510
1776149810,2020-04-17,Dealer_self,1962151042
6759173430,2020-04-17,Dealer_Hedging,5870908719
1991659000,2020-04-20,Investment_Trust,2046175763
649137690,2020-04-20,Dealer_self,850629987
36874573590,2020-04-20,Foreign_Investor,36360219199
3563179822,2020-04-20,Dealer_Hedging,4028236304
43078550102,2020-04-20,total,43285261253
1523040,2020-04-20,Foreign_Dealer_Self,1593460
1409355030,2020-04-21,Investment_Trust,2306396780
2241540,2020-04-21,Foreign_Dealer_Self,1732340
41632378331,2020-04-21,total,70839646982
953666740,2020-04-21,Dealer_self,2681146272
34629416126,2020-04-21,Foreign_Investor,58875779002
4639940435,2020-04-21,Dealer_Hedging,6976324928
4169391238,2020-04-22,Dealer_Hedging,4451889351
1830227062,2020-04-22,Investment_Trust,1885385740
34757825996,2020-04-22,Foreign_Investor,38207567786
1248860,2020-04-22,Foreign_Dealer_Self,1900650
41714076396,2020-04-22,total,46058447540
956632100,2020-04-22,Dealer_self,1513604663
4442471031,2020-04-23,Dealer_Hedging,4950617575
34741296314,2020-04-23,Foreign_Investor,38551730694
1105620,2020-04-23,Foreign_Dealer_Self,1687280
42755947915,2020-04-23,total,45928047094
1104291560,2020-04-23,Dealer_self,1361610319
2467889010,2020-04-23,Investment_Trust,1064088506
837301050,2020-04-24,Dealer_self,896001842
3404256056,2020-04-24,Dealer_Hedging,3751658753
28034671990,2020-04-24,Foreign_Investor,33713338103
33862538006,2020-04-24,total,39302194781
1234670,2020-04-24,Foreign_Dealer_Self,2657900
1586308910,2020-04-24,Investment_Trust,941196083
50719387346,2020-04-27,Foreign_Investor,33835835384
62154490296,2020-04-27,total,40880873780
2067370,2020-04-27,Foreign_Dealer_Self,4287400
6939713690,2020-04-27,Dealer_Hedging,4667247349
2092020920,2020-04-27,Dealer_self,856736977
2403368340,2020-04-27,Investment_Trust,1521054070
1959107850,2020-04-28,Dealer_self,1099906051
50033772836,2020-04-28,total,47629011041
3877906380,2020-04-28,Investment_Trust,1793327350
5771414880,2020-04-28,Dealer_Hedging,4652774472
3906160,2020-04-28,Foreign_Dealer_Self,2568910
38425343726,2020-04-28,Foreign_Investor,40083003168
1822489340,2020-04-29,Dealer_self,2738197405
3859320,2020-04-29,Foreign_Dealer_Self,3390670
67462989648,2020-04-29,total,50115908355
2542950420,2020-04-29,Investment_Trust,1442640872
4766342425,2020-04-29,Dealer_Hedging,5630686084
58331207463,2020-04-29,Foreign_Investor,40304383994
82042015063,2020-04-30,total,58183550066
3680620,2020-04-30,Foreign_Dealer_Self,4940140
67595945763,2020-04-30,Foreign_Investor,49004346092
2291949690,2020-04-30,Dealer_self,1814763221
4796857290,2020-04-30,Investment_Trust,2118797550
7357262320,2020-04-30,Dealer_Hedging,5245643203
1122274640,2020-05-04,Dealer_self,1590396734
36523623580,2020-05-04,Foreign_Investor,73487775454
3928403552,2020-05-04,Dealer_Hedging,9210713813
1681684310,2020-05-04,Investment_Trust,1628123859
43255986082,2020-05-04,total,85917009860
2542850,2020-05-04,Foreign_Dealer_Self,2007430
1672320,2020-05-05,Foreign_Dealer_Self,5604060
2112556366,2020-05-05,Investment_Trust,2161049654
27816466768,2020-05-05,Foreign_Investor,40203775388
1619107890,2020-05-05,Dealer_self,1461333140
3664234292,2020-05-05,Dealer_Hedging,5675864017
35212365316,2020-05-05,total,49502022199
3641710,2020-05-06,Foreign_Dealer_Self,3169610
48538701896,2020-05-06,total,56925067715
2527625765,2020-05-06,Investment_Trust,1998089000
40517175358,2020-05-06,Foreign_Investor,45800222707
1380442420,2020-05-06,Dealer_self,2781129690
4113458353,2020-05-06,Dealer_Hedging,6345626318
2622302428,2020-05-07,Investment_Trust,1680991094
38131417605,2020-05-07,Foreign_Investor,39944267796
4415111785,2020-05-07,Dealer_Hedging,5160737875
1954164036,2020-05-07,Dealer_self,1067795620
47122995854,2020-05-07,total,47853792385
3075360,2020-05-07,Foreign_Dealer_Self,3905300
39452177322,2020-05-08,Foreign_Investor,43557798409
1885293960,2020-05-08,Dealer_self,1336028750
48286190240,2020-05-08,total,50743120644
2376507810,2020-05-08,Investment_Trust,1871903500
4572211148,2020-05-08,Dealer_Hedging,3977389985
4091500,2020-05-08,Foreign_Dealer_Self,5064520
4637122356,2020-05-11,Dealer_Hedging,5439414914
36055663199,2020-05-11,Foreign_Investor,33242851500
1558958980,2020-05-11,Dealer_self,1044629162
2310454450,2020-05-11,Investment_Trust,1539559950
4596880,2020-05-11,Foreign_Dealer_Self,4218660
44562198985,2020-05-11,total,41266455526
6791390,2020-05-12,Foreign_Dealer_Self,5742410
38979548179,2020-05-12,total,64718702406
3947951194,2020-05-12,Dealer_Hedging,4810740861
1887593700,2020-05-12,Investment_Trust,1485819682
31957904555,2020-05-12,Foreign_Investor,57050817836
1186098730,2020-05-12,Dealer_self,1371324027
3723440,2020-05-13,Foreign_Dealer_Self,4068720
3002222420,2020-05-13,Investment_Trust,2146346470
40369251704,2020-05-13,Foreign_Investor,45129185837
1463881470,2020-05-13,Dealer_self,1243633930
49673995599,2020-05-13,total,53098402557
4838640005,2020-05-13,Dealer_Hedging,4579236320
4245546104,2020-05-14,Dealer_Hedging,7021243474
40687705808,2020-05-14,total,62788046767
1459367950,2020-05-14,Dealer_self,2203152100
32864837364,2020-05-14,Foreign_Investor,51734207443
5394190,2020-05-14,Foreign_Dealer_Self,2705550
2117954390,2020-05-14,Investment_Trust,1829443750
3263340,2020-05-15,Foreign_Dealer_Self,3052460
52484763743,2020-05-15,total,55725980895
1668006960,2020-05-15,Dealer_self,2108118274
4641041038,2020-05-15,Dealer_Hedging,5301795093
43982888055,2020-05-15,Foreign_Investor,45903784488
2192827690,2020-05-15,Investment_Trust,2412283040
2909100,2020-05-18,Foreign_Dealer_Self,6221900
4780109334,2020-05-18,Dealer_Hedging,5042725265
2966320630,2020-05-18,Investment_Trust,3778736138
59041684613,2020-05-18,total,75986271228
2397261070,2020-05-18,Dealer_self,2366355498
48897993579,2020-05-18,Foreign_Investor,64798454327
4334793379,2020-05-19,Dealer_Hedging,3779473626
3702919340,2020-05-19,Investment_Trust,2696540640
58609712845,2020-05-19,Foreign_Investor,53960035648
2193884570,2020-05-19,Dealer_self,1493962040
6099960,2020-05-19,Foreign_Dealer_Self,4021840
68841310134,2020-05-19,total,61930011954
5077669592,2020-05-20,Dealer_Hedging,4590673911
46532822396,2020-05-20,Foreign_Investor,42143417391
56939855168,2020-05-20,total,50505080651
3484630,2020-05-20,Foreign_Dealer_Self,2859290
2530669170,2020-05-20,Dealer_self,2033072199
2798694010,2020-05-20,Investment_Trust,1737917150
4938277717,2020-05-21,Dealer_Hedging,4394011012
4243140,2020-05-21,Foreign_Dealer_Self,3642010
52708303848,2020-05-21,total,48757571840
2468191180,2020-05-21,Dealer_self,1386282470
42073642951,2020-05-21,Foreign_Investor,41094682114
3228192000,2020-05-21,Investment_Trust,1882596244
1697856110,2020-05-22,Dealer_self,1845335710
29571380095,2020-05-22,Foreign_Investor,58656962130
3427300,2020-05-22,Foreign_Dealer_Self,3272830
1673917830,2020-05-22,Investment_Trust,2001439723
4067569136,2020-05-22,Dealer_Hedging,6096056236
37010723171,2020-05-22,total,68599793799
4876109362,2020-05-25,Dealer_Hedging,3804588734
2107526020,2020-05-25,Dealer_self,1312535106
2013613697,2020-05-25,Investment_Trust,2255992250
41315645170,2020-05-25,total,44259606673
3561450,2020-05-25,Foreign_Dealer_Self,4764790
32318396091,2020-05-25,Foreign_Investor,36886490583
46443269598,2020-05-26,Foreign_Investor,32273384898
5722479538,2020-05-26,Dealer_Hedging,5202051946
57651280306,2020-05-26,total,40706869778
